19,HTAG,1
19,HTR,D
19,B365H,2.3
19,B365D,3.1
19,B365A,3.25
19,BWH,2.25
19,BWD,3.1
19,BWA,3.2
20,Date,30/08/14
20,HomeTeam,Belenenses
20,AwayTeam,Guimaraes
20,FTHG,0
20,FTAG,3
20,FTR,A
20,HTHG,0
20,HTAG,2
20,HTR,A
20,B365H,2.55
20,B365D,3.1
20,B365A,2.88
20,BWH,2.5
20,BWD,3.1
20,BWA,2.8
21,Date,30/08/14
21,HomeTeam,Sp Braga
21,AwayTeam,Estoril
21,FTHG,2
21,FTAG,1
21,FTR,H
21,HTHG,1
21,HTAG,0
21,HTR,H
21,B365H,1.85
21,B365D,3.4
21,B365A,4.33
21,BWH,1.78
21,BWD,3.4
21,BWA,4.4
22,Date,31/08/14
22,HomeTeam,Benfica
22,AwayTeam,Sp Lisbon
22,FTHG,1
22,FTAG,1
22,FTR,D
22,HTHG,1
22,HTAG,1
22,HTR,D
22,B365H,1.8
22,B365D,3.5
22,B365A,4.5
22,BWH,1.78
22,BWD,3.6
22,BWA,4.1
23,Date,31/08/14
23,HomeTeam,Gil Vicente
23,AwayTeam,Maritimo
23,FTHG,1
23,FTAG,2
23,FTR,A
23,HTHG,1
23,HTAG,0
23,HTR,H
23,B365H,2.7
23,B365D,3.2
23,B365A,2.6
23,BWH,2.5
23,BWD,3.25
23,BWA,2.7
24,Date,31/08/14
24,HomeTeam,Nacional
24,AwayTeam,Arouca
24,FTHG,2
24,FTAG,0
24,FTR,H
24,HTHG,1
24,HTAG,0
24,HTR,H
24,B365H,1.8
24,B365D,3.5
24,B365A,4.5
24,BWH,1.83
24,BWD,3.4
24,BWA,4.2
25,Date,31/08/14
25,HomeTeam,Penafiel
25,AwayTeam,Pacos Ferreira
25,FTHG,0
25,FTAG,1
25,FTR,A
25,HTHG,0
25,HTAG,0
25,HTR,D
25,B365H,2.8
25,B365D,3.3
25,B365A,2.45
25,BWH,2.75
25,BWD,3.2
25,BWA,2.5
26,Date,31/08/14
26,HomeTeam,Porto
26,AwayTeam,Moreirense
26,FTHG,3
26,FTAG,0
26,FTR,H
26,HTHG,0
26,HTAG,0
26,HTR,D
26,B365H,1.14
26,B365D,7.5
26,B365A,19
26,BWH,1.19
26,BWD,6.25
26,BWA,13
27,Date,01/09/14
27,HomeTeam,Rio Ave
27,AwayTeam,Boavista
27,FTHG,4
27,FTAG,0
27,FTR,H
27,HTHG,2
27,HTAG,0
27,HTR,H
27,B365H,1.53
27,B365D,3.75
27,B365A,7
27,BWH,1.6
27,BWD,3.7
27,BWA,5.5
28,Date,12/09/14
28,HomeTeam,Setubal
28,AwayTeam,Benfica
28,FTHG,0
28,FTAG,5
28,FTR,A
28,HTHG,0
28,HTAG,3
28,HTR,A
28,B365H,7
28,B365D,4
28,B365A,1.5
28,BWH,7.25
28,BWD,4.1
28,BWA,1.44
29,Date,13/09/14
29,HomeTeam,Arouca
29,AwayTeam,Sp Braga
29,FTHG,1
29,FTAG,0
29,FTR,H
29,HTHG,1
29,HTAG,0
29,HTR,H
29,B365H,3.8
29,B365D,3.3
29,B365A,2
29,BWH,3.7
29,BWD,3.4
29,BWA,1.95
30,Date,13/09/14
30,HomeTeam,Moreirense
30,AwayTeam,Rio Ave
30,FTHG,1
30,FTAG,1
30,FTR,D
30,HTHG,0
30,HTAG,1
30,HTR,A
30,B365H,2.6
30,B365D,3.2
30,B365A,2.75
30,BWH,2.7
30,BWD,2.95
30,BWA,2.7
31,Date,13/09/14
31,HomeTeam,Sp Lisbon
31,AwayTeam,Belenenses
31,FTHG,1
31,FTAG,1
31,FTR,D
31,HTHG,1
31,HTAG,1
31,HTR,D
31,B365H,1.36
31,B365D,4.5
31,B365A,9
31,BWH,1.33
31,BWD,4.5
31,BWA,9.25
32,Date,14/09/14
32,HomeTeam,Boavista
32,AwayTeam,Academica
32,FTHG,1
32,FTAG,0
32,FTR,H
32,HTHG,0
32,HTAG,0
32,HTR,D
32,B365H,2.88
32,B365D,3.3
32,B365A,2.4
32,BWH,2.8
32,BWD,2.9
32,BWA,2.65
33,Date,14/09/14
33,HomeTeam,Estoril
33,AwayTeam,Nacional
33,FTHG,2
33,FTAG,1
33,FTR,H
33,HTHG,1
33,HTAG,0
33,HTR,H
33,B365H,2.1
33,B365D,3.3
33,B365A,3.5
33,BWH,2
33,BWD,3.3
33,BWA,3.6
34,Date,14/09/14
34,HomeTeam,Guimaraes
34,AwayTeam,Porto
34,FTHG,1
34,FTAG,1
34,FTR,D
34,HTHG,0
34,HTAG,0
34,HTR,D
34,B365H,6.5
34,B365D,3.8
34,B365A,1.55
34,BWH,6.25
34,BWD,3.75
34,BWA,1.53
35,Date,14/09/14
35,HomeTeam,Maritimo
35,AwayTeam,Penafiel
35,FTHG,2
35,FTAG,0
35,FTR,H
35,HTHG,0
35,HTAG,0
35,HTR,D
35,B365H,1.67
35,B365D,3.6
35,B365A,5.25
35,BWH,1.65
35,BWD,3.6
35,BWA,5
36,Date,14/09/14
36,HomeTeam,Pacos Ferreira
36,AwayTeam,Gil Vicente
36,FTHG,1
36,FTAG,1
36,FTR,D
36,HTHG,1
36,HTAG,0
36,HTR,H
36,B365H,1.8
36,B365D,3.3
36,B365A,4.75
36,BWH,1.8
36,BWD,3.4
36,BWA,4.4
37,Date,19/09/14
37,HomeTeam,Guimaraes
37,AwayTeam,Pacos Ferreira
37,FTHG,1
37,FTAG,1
37,FTR,D
37,HTHG,0
37,HTAG,1
37,HTR,A
37,B365H,1.95
37,B365D,3.25
37,B365A,4.2
37,BWH,1.87
37,BWD,3.3
37,BWA,4.1
38,Date,20/09/14
38,HomeTeam,Nacional
38,AwayTeam,Sp Braga
38,FTHG,1
38,FTAG,1
38,FTR,D
38,HTHG,0
38,HTAG,0
38,HTR,D
38,B365H,2.88
38,B365D,3.2
38,B365A,2.5
38,BWH,2.8
38,BWD,3.2
38,BWA,2.45
39,Date,20/09/14
39,HomeTeam,Penafiel
39,AwayTeam,Setubal
39,FTHG,2
39,FTAG,0
39,FTR,H
39,HTHG,1
39,HTAG,0
39,HTR,H
39,B365H,2.63
39,B365D,3.2
39,B365A,2.7
39,BWH,2.55
39,BWD,3.1
39,BWA,2.75
40,Date,21/09/14
40,HomeTeam,Belenenses
40,AwayTeam,Maritimo
40,FTHG,1
40,FTAG,0
40,FTR,H
40,HTHG,0
40,HTAG,0
40,HTR,D
40,B365H,2.5
40,B365D,3.3
40,B365A,2.8
40,BWH,2.55
40,BWD,3.2
40,BWA,2.7
41,Date,21/09/14
41,HomeTeam,Benfica
41,AwayTeam,Moreirense
41,FTHG,3
41,FTAG,1
41,FTR,H
41,HTHG,0
41,HTAG,1
41,HTR,A
41,B365H,1.2
41,B365D,6
41,B365A,15
41,BWH,1.22
41,BWD,5.75
41,BWA,11.5
42,Date,21/09/14
42,HomeTeam,Gil Vicente
42,AwayTeam,Sp Lisbon
42,FTHG,0
42,FTAG,4
42,FTR,A
42,HTHG,0
42,HTAG,2
42,HTR,A
42,B365H,7
42,B365D,3.9
42,B365A,1.5
42,BWH,6
42,BWD,3.75
42,BWA,1.55
43,Date,21/09/14
43,HomeTeam,Porto
43,AwayTeam,Boavista
43,FTHG,0
43,FTAG,0
43,FTR,D
43,HTHG,0
43,HTAG,0
43,HTR,D
43,B365H,1.14
43,B365D,7.5
43,B365A,17
43,BWH,1.13
43,BWD,7.25
43,BWA,17.5
44,Date,21/09/14
44,HomeTeam,Rio Ave
44,AwayTeam,Arouca
44,FTHG,1
44,FTAG,2
44,FTR,A
44,HTHG,0
44,HTAG,1
44,HTR,A
44,B365H,1.7
44,B365D,3.5
44,B365A,5.25
44,BWH,1.67
44,BWD,3.6
44,BWA,5
45,Date,22/09/14
45,HomeTeam,Academica
45,AwayTeam,Estoril
45,FTHG,2
45,FTAG,2
45,FTR,D
45,HTHG,2
45,HTAG,1
45,HTR,H
45,B365H,2.75
45,B365D,3.3
45,B365A,2.5
45,BWH,2.8
45,BWD,3.1
45,BWA,2.5
46,Date,26/09/14
46,HomeTeam,Sp Lisbon
46,AwayTeam,Porto
46,FTHG,1
46,FTAG,1
46,FTR,D
46,HTHG,1
46,HTAG,0
46,HTR,H
46,B365H,3.1
46,B365D,3.1
46,B365A,2.4
46,BWH,3
46,BWD,3.3
46,BWA,2.25
47,Date,27/09/14
47,HomeTeam,Estoril
47,AwayTeam,Benfica
47,FTHG,2
47,FTAG,3
47,FTR,A
47,HTHG,1
47,HTAG,2
47,HTR,A
47,B365H,5
47,B365D,3.6
47,B365A,1.7
47,BWH,5
47,BWD,3.6
47,BWA,1.67
48,Date,27/09/14
48,HomeTeam,Sp Braga
48,AwayTeam,Rio Ave
48,FTHG,3
48,FTAG,0
48,FTR,H
48,HTHG,0
48,HTAG,0
48,HTR,D
48,B365H,1.73
48,B365D,3.5
48,B365A,5
48,BWH,1.75
48,BWD,3.5
48,BWA,4.4
49,Date,28/09/14
49,HomeTeam,Arouca
49,AwayTeam,Academica
49,FTHG,0
49,FTAG,1
49,FTR,A
49,HTHG,0
49,HTAG,1
49,HTR,A
49,B365H,2.25
49,B365D,3.25
49,B365A,3.2
49,BWH,2.3
49,BWD,3.1
49,BWA,3.1
50,Date,28/09/14
50,HomeTeam,Boavista
50,AwayTeam,Gil Vicente
50,FTHG,3
50,FTAG,2
50,FTR,H
50,HTHG,1
50,HTAG,1
50,HTR,D
50,B365H,2.5
50,B365D,3.25
50,B365A,2.8
50,BWH,2.5
50,BWD,3.2
50,BWA,2.7
51,Date,28/09/14
51,HomeTeam,Maritimo
51,AwayTeam,Guimaraes
51,FTHG,4
51,FTAG,0
51,FTR,H
51,HTHG,4
51,HTAG,0
51,HTR,H
51,B365H,2.4
51,B365D,3.25
51,B365A,2.9
51,BWH,2.35
51,BWD,3.3
51,BWA,2.85
52,Date,28/09/14
52,HomeTeam,Moreirense
52,AwayTeam,Penafiel
52,FTHG,0
52,FTAG,0
52,FTR,D
52,HTHG,0
52,HTAG,0
52,HTR,D
52,B365H,1.83
52,B365D,3.5
52,B365A,4.33
52,BWH,1.91
52,BWD,3.3
52,BWA,3.9
53,Date,28/09/14
53,HomeTeam,Setubal
53,AwayTeam,Nacional
53,FTHG,2
53,FTAG,0
53,FTR,H
53,HTHG,2
53,HTAG,0
53,HTR,H
53,B365H,2.6
53,B365D,3.2
53,B365A,2.7
53,BWH,2.5
53,BWD,3.3
53,BWA,2.65
54,Date,29/09/14
54,HomeTeam,Pacos Ferreira
54,AwayTeam,Belenenses
54,FTHG,2
54,FTAG,0
54,FTR,H
54,HTHG,1
54,HTAG,0
54,HTR,H
54,B365H,2.05
54,B365D,3.3
54,B365A,3.6
54,BWH,1.95
54,BWD,3.2
54,BWA,4
55,Date,03/10/14
55,HomeTeam,Guimaraes
55,AwayTeam,Boavista
55,FTHG,3
55,FTAG,0
55,FTR,H
55,HTHG,1
55,HTAG,0
55,HTR,H
55,B365H,1.62
55,B365D,3.6
55,B365A,6
55,BWH,1.55
55,BWD,3.8
55,BWA,5.75
56,Date,04/10/14
56,HomeTeam,Penafiel
56,AwayTeam,Sp Lisbon
56,FTHG,0
56,FTAG,4
56,FTR,A
56,HTHG,0
56,HTAG,0
56,HTR,D
56,B365H,8
56,B365D,4
56,B365A,1.44
56,BWH,7.5
56,BWD,3.9
56,BWA,1.45
57,Date,05/10/14
57,HomeTeam,Academica
57,AwayTeam,Moreirense
57,FTHG,0
57,FTAG,0
57,FTR,D
57,HTHG,0
57,HTAG,0
57,HTR,D
57,B365H,2.38
57,B365D,3.1
57,B365A,3.1
57,BWH,2.3
57,BWD,3.1
57,BWA,3.1
58,Date,05/10/14
58,HomeTeam,Belenenses
58,AwayTeam,Setubal
58,FTHG,1
58,FTAG,1
58,FTR,D
58,HTHG,0
58,HTAG,1
58,HTR,A
58,B365H,2.2
58,B365D,3.1
58,B365A,3.5
58,BWH,2.15
58,BWD,3.3
58,BWA,3.2
59,Date,05/10/14
59,HomeTeam,Benfica
59,AwayTeam,Arouca
59,FTHG,4
59,FTAG,0
59,FTR,H
59,HTHG,0
59,HTAG,0
59,HTR,D
59,B365H,1.2
59,B365D,6.5
59,B365A,13
59,BWH,1.18
59,BWD,6.25
59,BWA,14
60,Date,05/10/14
60,HomeTeam,Gil Vicente
60,AwayTeam,Estoril
60,FTHG,1
60,FTAG,1
60,FTR,D
60,HTHG,1
60,HTAG,1
60,HTR,D
60,B365H,3.8
60,B365D,3.3
60,B365A,2
60,BWH,3.1
60,BWD,3.4
60,BWA,2.15
61,Date,05/10/14
61,HomeTeam,Nacional
61,AwayTeam,Rio Ave
61,FTHG,0
61,FTAG,0
61,FTR,D
61,HTHG,0
61,HTAG,0
61,HTR,D
61,B365H,2.05
61,B365D,3.3
61,B365A,3.6
61,BWH,2.25
61,BWD,3.3
61,BWA,3
62,Date,05/10/14
62,HomeTeam,Pacos Ferreira
62,AwayTeam,Maritimo
62,FTHG,3
62,FTAG,2
62,FTR,H
62,HTHG,0
62,HTAG,1
62,HTR,A
62,B365H,2.25
62,B365D,3.1
62,B365A,3.4
62,BWH,2.4
62,BWD,3.25
62,BWA,2.8
63,Date,05/10/14
63,HomeTeam,Porto
63,AwayTeam,Sp Braga
63,FTHG,2
63,FTAG,1
63,FTR,H
63,HTHG,1
63,HTAG,1
63,HTR,D
63,B365H,1.44
63,B365D,4
63,B365A,8
63,BWH,1.5
63,BWD,4
63,BWA,6.25
64,Date,24/10/14
64,HomeTeam,Setubal
64,AwayTeam,Guimaraes
64,FTHG,0
64,FTAG,1
64,FTR,A
64,HTHG,0
64,HTAG,0
64,HTR,D
64,B365H,2.75
64,B365D,3.3
64,B365A,2.5
64,BWH,2.65
64,BWD,3.3
64,BWA,2.5
65,Date,25/10/14
65,HomeTeam,Arouca
65,AwayTeam,Porto
65,FTHG,0
65,FTAG,5
65,FTR,A
65,HTHG,0
65,HTAG,3
65,HTR,A
65,B365H,8.5
65,B365D,4.75
65,B365A,1.36
65,BWH,8
65,BWD,4.5
65,BWA,1.36
66,Date,25/10/14
66,HomeTeam,Boavista
66,AwayTeam,Pacos Ferreira
66,FTHG,1
66,FTAG,2
66,FTR,A
66,HTHG,0
66,HTAG,1
66,HTR,A
66,B365H,3.5
66,B365D,3.2
66,B365A,2.15
66,BWH,3.5
66,BWD,3.25
66,BWA,2.05
67,Date,25/10/14
67,HomeTeam,Moreirense
67,AwayTeam,Gil Vicente
67,FTHG,2
67,FTAG,0
67,FTR,H
67,HTHG,0
67,HTAG,0
67,HTR,D
67,B365H,1.91
67,B365D,3.25
67,B365A,4.33
67,BWH,1.87
67,BWD,3.3
67,BWA,4.1
68,Date,26/10/14
68,HomeTeam,Estoril
68,AwayTeam,Belenenses
68,FTHG,1
68,FTAG,2
68,FTR,A
68,HTHG,0
68,HTAG,1
68,HTR,A
68,B365H,1.75
68,B365D,3.4
68,B365A,5
68,BWH,1.78
68,BWD,3.5
68,BWA,4.33
69,Date,26/10/14
69,HomeTeam,Nacional
69,AwayTeam,Academica
69,FTHG,1
69,FTAG,0
69,FTR,H
69,HTHG,0
69,HTAG,0
69,HTR,D
69,B365H,1.85
69,B365D,3.4
69,B365A,4.33
69,BWH,1.75
69,BWD,3.5
69,BWA,4.5
70,Date,26/10/14
70,HomeTeam,Sp Braga
70,AwayTeam,Benfica
70,FTHG,2
70,FTAG,1
70,FTR,H
70,HTHG,1
70,HTAG,1
70,HTR,D
70,B365H,4.33
70,B365D,3.6
70,B365A,1.8
70,BWH,4.2
70,BWD,3.4
70,BWA,1.83
71,Date,26/10/14
71,HomeTeam,Sp Lisbon
71,AwayTeam,Maritimo
71,FTHG,4
71,FTAG,2
71,FTR,H
71,HTHG,3
71,HTAG,0
71,HTR,H
71,B365H,1.44
71,B365D,4.33
71,B365A,7
71,BWH,1.4
71,BWD,4.4
71,BWA,7.25
72,Date,27/10/14
72,HomeTeam,Rio Ave
72,AwayTeam,Penafiel
72,FTHG,3
72,FTAG,2
72,FTR,H
72,HTHG,2
72,HTAG,1
72,HTR,H
72,B365H,1.73
72,B365D,3.4
72,B365A,5.25
72,BWH,1.65
72,BWD,3.5
72,BWA,5.25
73,Date,31/10/14
73,HomeTeam,Benfica
73,AwayTeam,Rio Ave
73,FTHG,1
73,FTAG,0
73,FTR,H
73,HTHG,0
73,HTAG,0
73,HTR,D
73,B365H,1.33
73,B365D,4.5
73,B365A,11
73,BWH,1.28
73,BWD,5.25
73,BWA,9.25
74,Date,01/11/14
74,HomeTeam,Guimaraes
74,AwayTeam,Sp Lisbon
74,FTHG,3
74,FTAG,0
74,FTR,H
74,HTHG,2
74,HTAG,0
74,HTR,H
74,B365H,4
74,B365D,3.4
74,B365A,1.91
74,BWH,3.7
74,BWD,3.5
74,BWA,1.91
75,Date,01/11/14
75,HomeTeam,Penafiel
75,AwayTeam,Estoril
75,FTHG,1
75,FTAG,2
75,FTR,A
75,HTHG,0
75,HTAG,1
75,HTR,A
75,B365H,4.5
75,B365D,3.4
75,B365A,1.83
75,BWH,4.25
75,BWD,3.4
75,BWA,1.8
76,Date,01/11/14
76,HomeTeam,Porto
76,AwayTeam,Nacional
76,FTHG,2
76,FTAG,0
76,FTR,H
76,HTHG,1
76,HTAG,0
76,HTR,H
76,B365H,1.25
76,B365D,5.25
76,B365A,13
76,BWH,1.28
76,BWD,5.25
76,BWA,9.5
77,Date,02/11/14
77,HomeTeam,Academica
77,AwayTeam,Sp Braga
77,FTHG,1
77,FTAG,1
77,FTR,D
77,HTHG,0
77,HTAG,0
77,HTR,D
77,B365H,3.75
77,B365D,3.3
77,B365A,2
77,BWH,3.5
77,BWD,3.25
77,BWA,2.05
78,Date,02/11/14
78,HomeTeam,Gil Vicente
78,AwayTeam,Arouca
78,FTHG,1
78,FTAG,1
78,FTR,D
78,HTHG,0
78,HTAG,0
78,HTR,D
78,B365H,2.45
78,B365D,3.25
78,B365A,2.9
78,BWH,2.5
78,BWD,3.3
78,BWA,2.65
79,Date,02/11/14
79,HomeTeam,Maritimo
79,AwayTeam,Moreirense
79,FTHG,1
79,FTAG,2
79,FTR,A
79,HTHG,0
79,HTAG,1
79,HTR,A
79,B365H,2
79,B365D,3.4
79,B365A,3.75
79,BWH,2.05
79,BWD,3.25
79,BWA,3.5
80,Date,02/11/14
80,HomeTeam,Pacos Ferreira
80,AwayTeam,Setubal
80,FTHG,4
80,FTAG,1
80,FTR,H
80,HTHG,0
80,HTAG,0
80,HTR,D
80,B365H,1.85
80,B365D,3.4
80,B365A,4.33
80,BWH,1.83
80,BWD,3.4
80,BWA,4.2
81,Date,03/11/14
81,HomeTeam,Belenenses
81,AwayTeam,Boavista
81,FTHG,3
81,FTAG,1
81,FTR,H
81,HTHG,3
